Eddard,Stark,Ned@westeros.net,Research & Development,100
Benjen,Stark,ColdHands@westeros.net,Auditing,601
Catelyn,Stark,Mother@westeros.net,Human Resources,302
Arya,Stark,A_Girl@westeros.net,Research & Development,103
Robb,Stark,YoungWolf@westeros.net,Research & Development,104
Sansa,Stark,LittleDove@westeros.net,Research & Development,105
Bran,Stark,TheRaven@westeros.net,Research & Development,106
Rickon,Stark,Shaggydog@westeros.net,Research & Development,107
Jon,Snow,TheGhostBrother@westeros.net,Auditing,608
Tyrion,Lannister,TheImp@westeros.net,Accounting,409
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,410
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,411
Robert,Baratheon,TheUsurper@westeros.net,Sales,512
Stannis,Baratheon,ThePromised@westeros.net,Sales,513
Renly,Baratheon,SummerKing@westeros.net,Sales,514
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,215
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,216
