Eddard, Stark, Ned@westeros.net,  Research & Development, 100, 100
Benjen, Stark, ColdHands@westeros.net,  Auditing, 101, 105
Catelyn, Stark, Mother@westeros.net,  Human Resources, 102, 110
Arya, Stark, A_Girl@westeros.net,  Research & Development, 103, 115
Robb, Stark, YoungWolf@westeros.net,  Research & Development, 104, 120
Sansa, Stark, LittleDove@westeros.net,  Research & Development, 105, 125
Bran, Stark, TheRaven@westeros.net,  Research & Development, 106, 130
Rickon, Stark, Shaggydog@westeros.net,  Research & Development, 107, 135
Jon, Snow, TheGhostBrother@westeros.net,  Auditing, 108, 140
Tyrion, Lannister, TheImp@westeros.net,  Accounting, 109, 145
Jaime, Lannister, TheGoldenHand@westeros.net,  Accounting, 110, 150
Cersei, Lannister, TheLionQueen@westeros.net,  Accounting, 111, 155
Robert, Baratheon, TheUsurper@westeros.net,  Sales, 112, 160
Stannis, Baratheon, ThePromised@westeros.net,  Sales, 113, 165
Renly, Baratheon, SummerKing@westeros.net,  Sales, 114, 170
Daenerys, Targaryen, MotherOfDragons@westeros.net,  Marketing, 115, 175
Viserys, Targaryen, GoldenKing@westeros.net,  Marketing, 116, 180
Total Records: 17
